emri_mbiemri,nr_vezhguesi,komuna,emri_qv,nr_qv,nr_vv,pyetja_1,pyetja_4,pyetja_5,pyetja_3,pyetja_2,pyetja_6,pyetja_femra,pyetja_8,pyetja_9,pyetja_10,pyetja_11,pyetja_12,pyetja_13,pyetja_14,pyetja_15,pyetja_17,pyetja_18,pyetja_19,pyetja_20,10_21,12_21,16_21,19_21,pyetja_22,pyetja_23,pyetja_24,pyetja_25,pyetja_26,pyetja_27,pyetja_28,pyetja_29,pyetja_30,pyetja_31,pyetja_32,pyetja_33,pyetja_34,pyetja_35,pyetja_36,pyetja_36a,pyetja_37,pyetja_38,pyetja_39,pyetja_40,pyetjaj_41,pyetja_42,pyetja_43,pyetja_44,pyetja_45,pyetja_46,pyetja_47,pyetja_48,pyetja_49,pyetja_50,pyetja_51,pyetja_52,pyetja_53,pyetja_54,pyetja_55,pyetjaj_56,pyetja_57,pyetja_58,pyetja_59,pytja_kusht1,pytja_kusht2,pytja_kusht3,pytja_60,pytja_61,pytja_62
,505/294,Viti,Shkolla Fillore '28 Nëntori',2611d,02D,1,1,6:10,06:07,1,6,0,850,836,2,1,1,1,1,7,1,1,1,1,0,0,0,372,1,13,16,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,1,372,1,0,1,1,372,20,1,1,1,0,4,0,13,13,1,,,0
,505/728,Kaçanik,Shkolla Fillore 'Kadri Zeka',0706d,01R,1,1,06:30,06:08,2,6,1,600,724,2,1,1,1,1,7,1,1,1,1,50,75,173,274,2,0,29,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,0,274,1,0,0,1,274,26,1,1,1,0,3,0,0,0,0,,,0
,,Suharekë,Shkolla 'Dëshmorët e Tivarit',2423a,02D,1,1,06:00,06:38,2,4,1,500,483,2,1,1,1,1,7,1,1,1,1,36,99,162,193,0,11,7,1,2,2,2,2,2,2,1,2,1,0,0,1,2,19:05,2,2,1,2,1,1,1,1,182,1,1,1,1,182,11,1,1,1,1,3,2,11,11,1,,,0
,505/1875,Kaçanik, Shkolla 'Emin Duraku',0701x,06R,1,1,06:00,05:58,1,6,3,750,862,2,1,1,1,1,7,1,1,1,1,46,140,279,390,3,0,28,1,2,2,2,2,2,2,2,2,2,0,0,0,2,07:00,2,0,1,2,1,1,1,1,390,1,1,1,1,389,14,1,0,1,1,3,2,0,0,1,,,0
,505883,Viti,Shkolla Fillore 'Mirali  Sejdiu',2632d,01D,0,1,05:50,05:50,1,6,0,800,786,2,1,1,1,1,7,1,1,1,1,60,120,260,348,1,1,13,1,2,2,2,2,2,2,2,2,2,0,0,0,0,19:00,2,0,1,2,1,1,1,1,343,1,0,1,1,343,21,1,1,0,0,3,2,0,1,0,,,0
,1431,Kaçanik, Shkolla 'Emin Duraku',0701x,08D,1,1,05:57,05:55,2,5,3,750,659,2,1,1,1,1,7,1,1,1,1,38,121,195,290,0,21,29,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:00,2,2,1,2,1,1,1,1,290,1,0,1,1,269,13,1,1,1,1,2,2,21,21,1,,,0
,505/384,Suharekë,Gjimnazi 'Jeta e Re',2401a,02R,1,1,06:05,06:00,2,7,2,800,905,2,1,1,1,1,7,1,1,1,1,46,153,260,403,0,0,19,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:05,1,1,2,2,1,1,1,1,403,1,1,1,1,403,18,1,1,1,0,1,0,0,0,0,,,0
,505/973,Kaçanik,Shkolla Fillore 'Kadri Zeka',0706d,02R,2,1,06:15,06:01,1,10,2,600,739,2,1,1,1,1,7,1,1,1,1,27,80,153,242,0,0,24,1,2,2,2,2,2,2,2,2,2,0,0,4,2,19:05,2,0,1,2,1,1,1,1,242,1,1,1,1,242,16,1,1,0,0,2,0,0,0,0,,,0
,1083,Suharekë,Shkolla 'Hasan Prishtina',2421a,02D,1,1,06:00,06:00,1,6,3,650,609,2,1,1,1,1,7,1,1,1,1,31,60,160,213,0,0,30,1,2,0,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,1,213,1,1,1,1,213,7,1,1,1,1,3,2,0,0,0,,,0
,5051672,Viti,Shkolla Fillore 'Mirali Sejdiu',2631d,01D,1,1,06:00,06:15,1,6,1,750,367,2,1,1,1,1,7,1,1,1,1,50,218,265,367,3,0,33,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:00,2,0,1,2,1,1,1,1,367,1,1,1,1,367,21,1,0,1,1,2,2,0,0,0,,,0
